evidence_type_id,locale,label,description,required_for,personal_data_default,verification_rule
O017-WRAP-EV-SEARCH-QUESTION,id-ID,Pertanyaan pencarian,Pertanyaan matematika dan batas yang dibekukan sebelum pencarian,O017-WRAP-A01,false,cap waktu mendahului keputusan akhir
O017-WRAP-EV-QUERY-LOG,id-ID,Ledger kueri,Kueri layanan waktu hasil dan keputusan retensi,O017-WRAP-A01,false,urutan dan kelengkapan diperiksa
O017-WRAP-EV-CANDIDATE-MATRIX,id-ID,Matriks calon,Perbandingan otoritas versi hak cakupan dan keputusan,O017-WRAP-A01,false,setiap keputusan mempunyai alasan
O017-WRAP-EV-STOP-RULE,id-ID,Aturan berhenti,Kondisi berhenti yang ditulis sebelum kesimpulan,O017-WRAP-A01,false,kondisi cocok dengan ledger
O017-WRAP-EV-SOURCE-FREEZE,id-ID,Pembekuan sumber,PID atau URL otoritatif versi lokator tanggal dan saksi byte,O017-WRAP-A01|O017-WRAP-A04,false,saksi versi dapat ditemukan kembali
O017-WRAP-EV-UNCERTAINTY-LEDGER,id-ID,Ledger ketidakpastian,Pertanyaan terbuka dasar status dan tindakan,O017-WRAP-A01|O017-WRAP-A04,false,status tidak dihapus saat revisi
O017-WRAP-EV-EVENT-IDENTITY,id-ID,Identitas seminar,Acara tanggal zona waktu peran dan jalur,O017-WRAP-A02,true,data pribadi diminimalkan dan dasar acara diverifikasi
O017-WRAP-EV-TIMED-NOTES,id-ID,Catatan berwaktu,Observasi inferensi dan verifikasi dengan lokator,O017-WRAP-A02,possible,segmen dapat dicocokkan dengan bahan yang diizinkan
O017-WRAP-EV-DEPENDENCY-MAP,id-ID,Peta dependensi,Klaim dan prasyarat berhubungan,O017-WRAP-A02,false,setiap simpul mempunyai lokator
O017-WRAP-EV-QUESTION-LOG,id-ID,Log pertanyaan,Pertanyaan tindakan bukti dan status,O017-WRAP-A02,false,masalah terbuka dipertahankan
O017-WRAP-EV-ATTENDANCE-OR-SUPERVISION,id-ID,Bukti kehadiran atau supervisi,Saksi hemat data untuk jalur aktual,O017-WRAP-A02,true,manusia terverifikasi mengesahkan jalur
