concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.sphere,sphere,bola,o004.petrunin.ch16.s01,"o004.concept.euclidean-three-space; o004.concept.distance",mapped-admitted
o004.concept.unit-sphere,unit sphere,bola satuan,o004.petrunin.ch16.s01,o004.concept.sphere,mapped-admitted
o004.concept.great-circle,great circle,lingkaran besar,o004.petrunin.ch16.s01,"o004.concept.unit-sphere; o004.concept.plane-in-euclidean-space; o004.concept.circle",mapped-admitted
o004.concept.half-sphere,half-sphere,belahan bola,o004.petrunin.ch16.s01,o004.concept.great-circle,mapped-admitted
o004.concept.antipodal-points,antipodal points,titik-titik antipodal,o004.petrunin.ch16.s01,o004.concept.unit-sphere,mapped-admitted
o004.concept.spherical-distance,spherical distance,jarak sferis,o004.petrunin.ch16.s01,"o004.concept.great-circle; o004.concept.angle-measure",mapped-admitted
o004.concept.spherical-segment,spherical segment,ruas sferis,o004.petrunin.ch16.s01,"o004.concept.great-circle; o004.concept.spherical-distance",mapped-admitted
o004.concept.spherical-triangle,spherical triangle,segitiga sferis,o004.petrunin.ch16.s02,o004.concept.spherical-segment,mapped-admitted
o004.concept.spherical-angle-measure,spherical angle measure,ukuran sudut sferis,o004.petrunin.ch16.s02,"o004.concept.spherical-triangle; o004.concept.angle-between-arcs",mapped-admitted
o004.concept.solid-spherical-triangle,solid spherical triangle,segitiga sferis padat,o004.petrunin.ch16.s02,"o004.concept.spherical-triangle; o004.concept.half-sphere",mapped-admitted
o004.concept.spherical-slice,spherical slice,irisan sferis,o004.petrunin.ch16.s02,"o004.concept.great-circle; o004.concept.area",mapped-admitted
o004.concept.spherical-excess-area,spherical excess-area identity,identitas ekses-luas sferis,o004.petrunin.ch16.s02,"o004.concept.solid-spherical-triangle; o004.concept.spherical-angle-measure; o004.concept.area; o004.concept.triangle-defect",mapped-admitted
o004.concept.central-projection,central projection,proyeksi sentral,o004.petrunin.ch16.s03,"o004.concept.unit-sphere; o004.concept.perspective-projection",mapped-admitted
o004.concept.central-projection-great-circle-line,central projection of great circles to lines,proyeksi lingkaran besar ke garis,o004.petrunin.ch16.s03,"o004.concept.central-projection; o004.concept.great-circle; o004.concept.line",mapped-admitted
o004.concept.spherical-medians-under-central-projection,spherical medians under central projection,garis berat sferis melalui proyeksi sentral,o004.petrunin.ch16.s03,"o004.concept.central-projection; o004.concept.spherical-triangle; o004.concept.triangle-median; o004.concept.centroid",mapped-admitted
o004.concept.stereographic-projection,stereographic projection,proyeksi stereografik,o004.petrunin.ch16.s04,"o004.concept.unit-sphere; o004.concept.plane-in-euclidean-space",mapped-admitted
o004.concept.stereographic-extended-plane,stereographic projection to the extended plane,proyeksi stereografik ke bidang diperluas,o004.petrunin.ch16.s04,"o004.concept.stereographic-projection; o004.concept.point-at-infinity",mapped-admitted
o004.concept.stereographic-conformality,conformality of stereographic projection,konformalitas proyeksi stereografik,o004.petrunin.ch16.s04,"o004.concept.stereographic-projection; o004.concept.angle-between-arcs; o004.concept.conformal-angle-transport",mapped-admitted
o004.concept.sphere-inversion,inversion across a sphere,inversi terhadap bola,o004.petrunin.ch16.s05,"o004.concept.sphere; o004.concept.inversion",mapped-admitted
o004.concept.inversive-three-space,inversive three-space,ruang inversif berdimensi tiga,o004.petrunin.ch16.s05,"o004.concept.euclidean-three-space; o004.concept.point-at-infinity; o004.concept.sphere-inversion",mapped-admitted
o004.concept.spatial-inversion-theorem,spatial inversion theorem,teorema inversi ruang,o004.petrunin.ch16.s05,"o004.concept.sphere-inversion; o004.concept.circline; o004.concept.cross-ratio; o004.concept.angle-between-arcs",mapped-admitted
o004.concept.stereographic-as-inversion,stereographic projection as sphere inversion,proyeksi stereografik sebagai inversi bola,o004.petrunin.ch16.s05,"o004.concept.stereographic-extended-plane; o004.concept.sphere-inversion; o004.concept.stereographic-conformality",mapped-admitted
o004.concept.circular-cone,circular cone,kerucut lingkaran,o004.petrunin.ch16.s05,"o004.concept.circle; o004.concept.euclidean-three-space",mapped-admitted
o004.concept.oblique-circular-cone,oblique circular cone,kerucut lingkaran miring,o004.petrunin.ch16.s05,o004.concept.circular-cone,mapped-admitted
o004.concept.position-vector,position vector,vektor posisi,o004.petrunin.ch16.s06,"o004.concept.coordinate-method; o004.concept.euclidean-three-space",mapped-admitted
o004.concept.scalar-product-r3,scalar product in R3,hasil kali skalar dalam R3,o004.petrunin.ch16.s06,o004.concept.position-vector,mapped-admitted
o004.concept.spherical-pythagorean-theorem,spherical Pythagorean theorem,teorema Pythagoras sferis,o004.petrunin.ch16.s06,"o004.concept.spherical-triangle; o004.concept.right-angle; o004.concept.scalar-product-r3",mapped-admitted
o004.concept.imaginary-distance-correspondence,imaginary-distance spherical-hyperbolic correspondence,korespondensi jarak imajiner sferis-hiperbolik,o004.petrunin.ch16.s07,"o004.concept.spherical-pythagorean-theorem; o004.concept.hyperbolic-pythagorean-theorem",mapped-admitted
o004.concept.taurinus-substitution,Taurinus substitution,substitusi Taurinus,o004.petrunin.ch16.s07,o004.concept.imaginary-distance-correspondence,mapped-admitted
o004.concept.spherical-trigonometric-rules,spherical cosine and sine rules,aturan kosinus dan sinus sferis,o004.petrunin.ch16.s07,"o004.concept.spherical-triangle; o004.concept.taurinus-substitution",mapped-admitted
