concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.affine-geometry,affine geometry,geometri afin,o004.petrunin.ch14.s01,"o004.concept.euclidean-plane; o004.concept.line; o004.concept.collinearity",mapped-pending-qa
o004.concept.incidence-structure,incidence structure,struktur insidensi,o004.petrunin.ch14.s01,"o004.concept.line; o004.concept.collinearity",mapped-pending-qa
o004.concept.affine-transformation,affine transformation,transformasi afin,o004.petrunin.ch14.s01,"o004.concept.affine-geometry; o004.concept.incidence-structure",mapped-pending-qa
o004.concept.affine-invariant,property preserved by affine transformations,sifat invarian afin,o004.petrunin.ch14.s01,o004.concept.affine-transformation,mapped-pending-qa
o004.concept.affine-parallelism-preservation,preservation of parallel lines under affine transformations,pemertahanan garis sejajar oleh transformasi afin,o004.petrunin.ch14.s01,"o004.concept.affine-transformation; o004.concept.parallel-lines",mapped-pending-qa
o004.concept.shear-map,shear mapping,pemetaan geser,o004.petrunin.ch14.s01,"o004.concept.affine-transformation; o004.concept.coordinate-method",mapped-pending-qa
o004.concept.coordinate-affine-map,coordinate form of an affine mapping,bentuk koordinat pemetaan afin,o004.petrunin.ch14.s01,"o004.concept.affine-transformation; o004.concept.coordinate-method",mapped-pending-qa
o004.concept.collinearity-characterization-affine,collinearity characterization of affine transformations,karakterisasi kesegarisan bagi transformasi afin,o004.petrunin.ch14.s01,"o004.concept.collinearity; o004.concept.affine-transformation",mapped-pending-qa
o004.concept.ruler-parallel-tool-construction,ruler-and-parallel-tool construction,konstruksi dengan penggaris dan alat garis sejajar,o004.petrunin.ch14.s02,"o004.concept.ruler-only-construction; o004.concept.parallel-lines",mapped-pending-qa
o004.concept.affine-midpoint-invariance,affine invariance of midpoint,invariansi afin titik tengah,o004.petrunin.ch14.s02,"o004.concept.affine-transformation; o004.concept.midpoint; o004.concept.ruler-parallel-tool-construction",mapped-pending-qa
o004.concept.real-line-field-constructions,geometric construction of real-field operations,konstruksi geometri operasi lapangan real,o004.petrunin.ch14.s02,"o004.concept.coordinate-method; o004.concept.ruler-parallel-tool-construction; o004.concept.similar-triangles",mapped-pending-qa
o004.concept.affine-construction-impossibility,impossibility by affine invariance,kemustahilan konstruksi melalui invariansi afin,o004.petrunin.ch14.s02,"o004.concept.affine-invariant; o004.concept.shear-map; o004.concept.ruler-parallel-tool-construction",mapped-pending-qa
o004.concept.affine-parallelogram-rule,affine preservation of the parallelogram rule,pemertahanan aturan jajar genjang secara afin,o004.petrunin.ch14.s03,"o004.concept.affine-transformation; o004.concept.parallelogram",mapped-pending-qa
o004.concept.affine-scalar-preservation,preservation of scalar vector relations under affine transformations,pemertahanan hubungan skalar vektor oleh transformasi afin,o004.petrunin.ch14.s03,"o004.concept.affine-parallelogram-rule; o004.concept.real-line-field-constructions",mapped-pending-qa
o004.concept.fundamental-theorem-affine-geometry,fundamental theorem of affine geometry,teorema dasar geometri afin,o004.petrunin.ch14.s03,"o004.concept.affine-scalar-preservation; o004.concept.coordinate-affine-map",mapped-pending-qa
o004.concept.affine-coordinate-normal-form,coordinate normal form of an affine transformation,bentuk normal koordinat transformasi afin,o004.petrunin.ch14.s03,"o004.concept.fundamental-theorem-affine-geometry; o004.concept.coordinate-affine-map",mapped-pending-qa
o004.concept.affine-map-continuity,continuity of affine transformations,kekontinuan transformasi afin,o004.petrunin.ch14.s03,"o004.concept.fundamental-theorem-affine-geometry; o004.concept.continuity",mapped-pending-qa
o004.concept.circle-preserving-affine-isometry,circle-preserving affine transformation as an isometry,transformasi afin yang mempertahankan lingkaran sebagai isometri,o004.petrunin.ch14.s03,"o004.concept.affine-coordinate-normal-form; o004.concept.circle; o004.concept.isometry",mapped-pending-qa
o004.concept.inversive-transformation,inversive transformation,transformasi inversif,o004.petrunin.ch14.s03,"o004.concept.inversive-plane; o004.concept.inversion; o004.concept.circline",mapped-pending-qa
o004.concept.real-field-automorphism,automorphism of the real field,automorfisme lapangan bilangan real,o004.petrunin.ch14.s04,o004.concept.real-line-field-constructions,mapped-pending-qa
o004.concept.real-field-automorphism-rigidity,identity is the only automorphism of the real field,fungsi identitas sebagai satu-satunya automorfisme lapangan real,o004.petrunin.ch14.s04,o004.concept.real-field-automorphism,mapped-pending-qa
o004.concept.affine-collinear-ratio-invariance,invariance of a collinear point ratio under affine transformations,invariansi rasio titik segaris terhadap transformasi afin,o004.petrunin.ch14.s05,"o004.concept.affine-scalar-preservation; o004.concept.collinearity",mapped-pending-qa
o004.concept.menelaus-theorem,Menelaus's theorem,teorema Menelaus,o004.petrunin.ch14.s05,"o004.concept.affine-collinear-ratio-invariance; o004.concept.similar-triangles",mapped-pending-qa
o004.concept.ceva-theorem,Ceva's theorem,teorema Ceva,o004.petrunin.ch14.s05,"o004.concept.menelaus-theorem; o004.concept.centroid",mapped-pending-qa
o004.concept.van-aubel-theorem,Van Aubel's theorem,teorema Van Aubel,o004.petrunin.ch14.s05,"o004.concept.menelaus-theorem; o004.concept.ceva-theorem",mapped-pending-qa
o004.concept.signed-ratio,signed ratio,rasio bertanda,o004.petrunin.ch14.s05,"o004.concept.affine-collinear-ratio-invariance; o004.concept.collinearity",mapped-pending-qa
o004.concept.signed-theorem-converses,converses of the signed forms,kebalikan bentuk bertanda,o004.petrunin.ch14.s05,"o004.concept.signed-ratio; o004.concept.menelaus-theorem; o004.concept.ceva-theorem; o004.concept.van-aubel-theorem",mapped-pending-qa
