concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.birkhoff-axiom-system,Birkhoff-style axiom system,sistem aksioma bergaya Birkhoff,o004.petrunin.ch02.s01,o004.concept.axiomatic-system; o004.concept.metric-space; o004.concept.angle-measure; o004.concept.congruent-triangles,mapped-pending-qa
o004.concept.euclidean-plane,Euclidean plane,bidang Euklides,o004.petrunin.ch02.s01,o004.concept.metric-space,mapped-pending-qa
o004.petrunin.ax.ch02.i,Euclidean plane is a metric space with at least two points,bidang Euklides adalah ruang metrik dengan sedikitnya dua titik,o004.petrunin.ch02.s01,o004.concept.euclidean-plane,mapped-pending-qa
o004.petrunin.ax.ch02.ii,exactly one line through any two distinct points,tepat satu garis melalui setiap dua titik berbeda,o004.petrunin.ch02.s01,o004.concept.euclidean-plane; o004.concept.line,mapped-pending-qa
o004.petrunin.ax.ch02.iii,"oriented angle measure in (-pi, pi]","ukuran sudut berarah dalam (-pi, pi]",o004.petrunin.ch02.s01,o004.concept.angle-measure,mapped-pending-qa
o004.petrunin.ax.ch02.iii.a,unique ray for each angle measure,sinar tunggal untuk setiap ukuran sudut,o004.petrunin.ch02.s01,o004.petrunin.ax.ch02.iii; o004.concept.ray,mapped-pending-qa
o004.petrunin.ax.ch02.iii.b,angle addition modulo 2 pi,penjumlahan sudut modulo 2 pi,o004.petrunin.ch02.s01,o004.petrunin.ax.ch02.iii; o004.concept.modulo-2pi,mapped-pending-qa
o004.petrunin.ax.ch02.iii.c,continuity of angle measure,kekontinuan ukuran sudut,o004.petrunin.ch02.s01,o004.petrunin.ax.ch02.iii; o004.concept.continuity,mapped-pending-qa
o004.petrunin.ax.ch02.iv,triangle congruence by two sides and included oriented angle,kekongruenan segitiga berdasarkan dua sisi dan sudut berarah apit,o004.petrunin.ch02.s01,o004.concept.congruent-triangles; o004.concept.angle-measure,mapped-pending-qa
o004.petrunin.ax.ch02.v,positive scaling along two rays,perbesaran positif sepanjang dua sinar,o004.petrunin.ch02.s01,o004.concept.ray; o004.concept.angle-measure,mapped-pending-qa
o004.concept.zero-angle,zero angle,sudut nol,o004.petrunin.ch02.s03,o004.concept.angle-measure,mapped-pending-qa
o004.concept.betweenness,lies between / betweenness,terletak di antara / keantaraan,o004.petrunin.ch02.s04,o004.concept.segment; o004.concept.line,mapped-pending-qa
o004.concept.straight-angle,straight angle,sudut lurus,o004.petrunin.ch02.s04,o004.concept.angle-measure; o004.concept.betweenness,mapped-pending-qa
o004.concept.degenerate-triangle,degenerate triangle,segitiga degenerat,o004.petrunin.ch02.s04,o004.concept.straight-angle; o004.concept.congruent-triangles,mapped-pending-qa
o004.concept.vertical-angles,vertical angles,sudut bertolak belakang,o004.petrunin.ch02.s05,o004.concept.straight-angle,mapped-pending-qa
o004.concept.point-reflection,reflection across a point,pencerminan terhadap titik,o004.petrunin.ch02.s06,o004.concept.motion; o004.concept.vertical-angles,mapped-pending-qa
o004.concept.center-of-reflection,center of reflection,pusat pencerminan,o004.petrunin.ch02.s06,o004.concept.point-reflection,mapped-pending-qa
o004.concept.midpoint,midpoint,titik tengah,o004.petrunin.ch02.s06,o004.concept.segment,mapped-pending-qa
o004.concept.identity-map,identity map,pemetaan identitas,o004.petrunin.ch02.s06,,mapped-pending-qa
o004.concept.bijection,bijection,bijeksi,o004.petrunin.ch02.s06,,mapped-pending-qa
