concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.angle-of-parallelism,angle of parallelism,sudut paralelisme,o004.petrunin.ch13.s01,"o004.concept.hyperbolic-line; o004.concept.point-line-distance; o004.concept.hyperbolic-angle-measure",mapped-pending-qa
o004.concept.asymptotically-parallel-h-lines,asymptotically parallel h-lines,garis-h sejajar asimtotik,o004.petrunin.ch13.s01,"o004.concept.hyperbolic-line; o004.concept.ideal-point; o004.concept.angle-of-parallelism",mapped-pending-qa
o004.concept.ultraparallel-h-lines,ultraparallel h-lines,garis-h ultraparalel,o004.petrunin.ch13.s01,"o004.concept.hyperbolic-line; o004.concept.asymptotically-parallel-h-lines; o004.concept.multiple-hyperbolic-parallels",mapped-pending-qa
o004.concept.common-perpendicular-h-lines,common perpendicular of h-lines,garis tegak lurus bersama bagi garis-h,o004.petrunin.ch13.s01,"o004.concept.ultraparallel-h-lines; o004.concept.perpendicular-lines; o004.concept.hyperbolic-line",mapped-pending-qa
o004.concept.angle-parallelism-distance-formula,distance formula for the angle of parallelism,rumus jarak untuk sudut paralelisme,o004.petrunin.ch13.s01,"o004.concept.angle-of-parallelism; o004.concept.hyperbolic-distance; o004.concept.hyperbolic-functions",mapped-pending-qa
o004.concept.hyperbolic-incircle,incircle of an h-triangle,lingkaran dalam-h suatu segitiga-h,o004.petrunin.ch13.s02,"o004.concept.hyperbolic-circle; o004.concept.hyperbolic-triangle; o004.concept.incircle",mapped-pending-qa
o004.concept.hyperbolic-inradius,inradius of an h-triangle,jari-jari dalam-h suatu segitiga-h,o004.petrunin.ch13.s02,"o004.concept.hyperbolic-incircle; o004.concept.hyperbolic-distance; o004.concept.inradius",mapped-pending-qa
o004.concept.universal-hyperbolic-inradius-bound,universal upper bound for the h-inradius,batas atas universal jari-jari dalam-h,o004.petrunin.ch13.s02,"o004.concept.hyperbolic-inradius; o004.concept.angle-parallelism-distance-formula",mapped-pending-qa
o004.concept.hypercycle,equidistant curve of an h-line,ekuidistan atau hipersiklus suatu garis-h,o004.petrunin.ch13.s03,"o004.concept.hyperbolic-line; o004.concept.hyperbolic-distance; o004.concept.orthogonal-inversion-h-isometry",mapped-pending-qa
o004.concept.horocycle,horocycle,horosiklus,o004.petrunin.ch13.s03,"o004.concept.hyperbolic-plane-model; o004.concept.absolute-circle; o004.concept.circle",mapped-pending-qa
o004.concept.hyperbolic-round-curve-trichotomy,h-circle horocycle hypercycle trichotomy,trikotomi lingkaran-h horosiklus dan hipersiklus,o004.petrunin.ch13.s03,"o004.concept.hyperbolic-circle; o004.concept.horocycle; o004.concept.hypercycle",mapped-pending-qa
o004.concept.hyperbolic-circumcurve-classification,circumcurve classification of a nondegenerate h-triangle,klasifikasi kurva luar segitiga-h tak degenerat,o004.petrunin.ch13.s03,"o004.concept.hyperbolic-triangle; o004.concept.hyperbolic-round-curve-trichotomy; o004.concept.circline",mapped-pending-qa
o004.concept.positive-hyperbolic-triangle-defect,positive defect of a nondegenerate hyperbolic triangle,defek positif segitiga hiperbolik tak degenerat,o004.petrunin.ch13.s04,"o004.concept.triangle-defect; o004.concept.neutral-triangle-angle-sum-bound; o004.concept.hyperbolic-triangle",mapped-pending-qa
o004.concept.hyperbolic-aaa-congruence,AAA congruence in hyperbolic geometry,kekongruenan AAA dalam geometri hiperbolik,o004.petrunin.ch13.s04,"o004.concept.positive-hyperbolic-triangle-defect; o004.concept.hyperbolic-sas-congruence; o004.concept.neutral-saa-congruence",mapped-pending-qa
o004.concept.hyperbolic-similarity-rigidity,rigidity of similar hyperbolic triangles,kekakuan segitiga hiperbolik sebangun,o004.petrunin.ch13.s04,"o004.concept.hyperbolic-aaa-congruence; o004.concept.similar-triangles; o004.concept.congruent-triangles",mapped-pending-qa
o004.concept.angle-preserving-h-isometry,angle-preserving transformation as an h-isometry,transformasi yang mempertahankan sudut sebagai isometri-h,o004.petrunin.ch13.s04,"o004.concept.angle-preserving-transformation; o004.concept.hyperbolic-aaa-congruence; o004.concept.isometry",mapped-pending-qa
o004.concept.hyperbolic-conformal-factor,conformal factor of the h-metric,faktor konformal metrik-h,o004.petrunin.ch13.s05,"o004.concept.hyperbolic-metric; o004.concept.conformal-angle-transport; o004.concept.hyperbolic-model-normalization",mapped-pending-qa
o004.concept.hyperbolic-speed-limit-interpretation,speed-limit interpretation of h-distance,interpretasi batas kecepatan bagi jarak-h,o004.petrunin.ch13.s05,"o004.concept.hyperbolic-conformal-factor; o004.concept.hyperbolic-distance; o004.concept.distance",mapped-pending-qa
o004.concept.regular-inscribed-polygon,regular polygon inscribed in a circle,segi beraturan terinskripsi pada lingkaran,o004.petrunin.ch13.s05,"o004.concept.circle; o004.concept.central-angle; o004.concept.chord",mapped-pending-qa
o004.concept.euclidean-circle-circumference-limit,polygonal limit defining Euclidean circle circumference,limit poligonal yang mendefinisikan keliling lingkaran Euklides,o004.petrunin.ch13.s05,o004.concept.regular-inscribed-polygon,mapped-pending-qa
o004.concept.hyperbolic-circle-circumference,circumference of an h-circle,keliling lingkaran-h,o004.petrunin.ch13.s05,"o004.concept.hyperbolic-circle; o004.concept.hyperbolic-sine; o004.concept.hyperbolic-conformal-factor; o004.concept.euclidean-circle-circumference-limit",mapped-pending-qa
o004.concept.exponential-hyperbolic-circumference-growth,exponential growth of h-circle circumference,pertumbuhan eksponensial keliling lingkaran-h,o004.petrunin.ch13.s05,"o004.concept.hyperbolic-circle-circumference; o004.concept.hyperbolic-sine",mapped-pending-qa
o004.concept.hyperbolic-pythagorean-theorem,hyperbolic Pythagorean theorem,teorema Pythagoras hiperbolik,o004.petrunin.ch13.s06,"o004.concept.right-triangle; o004.concept.hyperbolic-cosine; o004.concept.inversion-distance-formulas",mapped-pending-qa
o004.concept.euclidean-small-triangle-limit,Euclidean small-triangle limit of the hyperbolic Pythagorean theorem,limit segitiga kecil Euklides dari teorema Pythagoras hiperbolik,o004.petrunin.ch13.s06,"o004.concept.hyperbolic-pythagorean-theorem; o004.concept.pythagorean-theorem",mapped-pending-qa
o004.concept.large-hyperbolic-right-triangle-asymptotic,large-side asymptotic for a hyperbolic right triangle,hampiran sisi besar segitiga siku-siku hiperbolik,o004.petrunin.ch13.s06,"o004.concept.hyperbolic-pythagorean-theorem; o004.concept.hyperbolic-cosine; o004.concept.hyperbolic-triangle-inequality",mapped-pending-qa
