concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.complex-number,complex number,bilangan kompleks,o004.petrunin.ch18.s01,o004.concept.euclidean-coordinate-model,mapped-admitted
o004.concept.complex-arithmetic,complex arithmetic,aritmetika kompleks,o004.petrunin.ch18.s01,o004.concept.complex-number,mapped-admitted
o004.concept.real-and-imaginary-parts,real and imaginary parts,bagian real dan imajiner,o004.petrunin.ch18.s01,o004.concept.complex-number,mapped-admitted
o004.concept.complex-plane-coordinate,complex coordinate on the Euclidean plane,koordinat kompleks pada bidang Euklides,o004.petrunin.ch18.s02,o004.concept.complex-number; o004.concept.euclidean-coordinate-model,mapped-admitted
o004.concept.complex-conjugation,complex conjugation,konjugasi kompleks,o004.petrunin.ch18.s03,o004.concept.real-and-imaginary-parts; o004.concept.line-reflection,mapped-admitted
o004.concept.complex-modulus,complex absolute value,nilai mutlak bilangan kompleks,o004.petrunin.ch18.s03,o004.concept.complex-number; o004.concept.distance,mapped-admitted
o004.concept.complex-distance-formula,Euclidean distance from complex coordinates,rumus jarak Euklides dari koordinat kompleks,o004.petrunin.ch18.s03,o004.concept.complex-plane-coordinate; o004.concept.complex-modulus,mapped-admitted
o004.concept.euler-formula-complex,Euler's formula for complex numbers,rumus Euler untuk bilangan kompleks,o004.petrunin.ch18.s04,o004.concept.complex-arithmetic,mapped-admitted
o004.concept.complex-argument,argument of a complex number,argumen bilangan kompleks,o004.petrunin.ch18.s05,o004.concept.euler-formula-complex; o004.concept.angle,mapped-admitted
o004.concept.complex-polar-coordinate,polar coordinate of a complex point,koordinat polar titik kompleks,o004.petrunin.ch18.s05,o004.concept.complex-modulus; o004.concept.complex-argument,mapped-admitted
o004.concept.complex-cross-ratio,complex cross-ratio,rasio silang kompleks,o004.petrunin.ch18.s05,o004.concept.complex-arithmetic; o004.concept.cross-ratio,mapped-admitted
o004.concept.complex-cross-ratio-cyclicity,cyclicity criterion by complex cross-ratio,kriteria keterinskripsian melalui rasio silang kompleks,o004.petrunin.ch18.s05,o004.concept.complex-cross-ratio; o004.concept.inscribed-quadrangle,mapped-admitted
o004.concept.complex-coordinate-method,complex-coordinate method,metode koordinat kompleks,o004.petrunin.ch18.s06,o004.concept.complex-plane-coordinate; o004.concept.coordinate-method,mapped-admitted
o004.concept.extended-complex-plane,extended complex plane,bidang kompleks diperluas,o004.petrunin.ch18.s07,o004.concept.complex-plane-coordinate; o004.concept.point-at-infinity,mapped-admitted
o004.concept.fractional-linear-transformation,fractional linear transformation,transformasi linear fraksional,o004.petrunin.ch18.s07,o004.concept.extended-complex-plane; o004.concept.complex-arithmetic,mapped-admitted
o004.concept.elementary-mobius-transformations,elementary Möbius transformations,transformasi Möbius elementer,o004.petrunin.ch18.s08,o004.concept.fractional-linear-transformation,mapped-admitted
o004.concept.rotational-homothety,rotational homothety,homoteti rotasional,o004.petrunin.ch18.s08,o004.concept.complex-argument; o004.concept.homothety,mapped-admitted
o004.concept.mobius-composition-characterization,composition characterization of Möbius transformations,karakterisasi komposisi transformasi Möbius,o004.petrunin.ch18.s08,o004.concept.elementary-mobius-transformations; o004.concept.identity-map,mapped-admitted
o004.concept.mobius-circline-preservation,Möbius preservation of circlines,pemertahanan lingkaran umum oleh transformasi Möbius,o004.petrunin.ch18.s08,o004.concept.mobius-composition-characterization; o004.concept.circline; o004.concept.inversion,mapped-admitted
o004.concept.mobius-inverse-closure,closure of Möbius transformations under inverse,ketertutupan transformasi Möbius terhadap invers,o004.petrunin.ch18.s08,o004.concept.mobius-composition-characterization; o004.concept.identity-map,mapped-admitted
o004.concept.inversion-as-conjugate-mobius,inversion as conjugation composed with a Möbius transformation,inversi sebagai komposisi konjugasi dan transformasi Möbius,o004.petrunin.ch18.s08,o004.concept.complex-conjugation; o004.concept.inversion; o004.concept.fractional-linear-transformation,mapped-admitted
o004.concept.complex-cross-ratio-mobius-invariance,Möbius invariance of complex cross-ratio,invariansi Möbius rasio silang kompleks,o004.petrunin.ch18.s09,o004.concept.complex-cross-ratio; o004.concept.fractional-linear-transformation,mapped-admitted
o004.concept.complex-unit-disc,open unit disc in the complex plane,cakram satuan terbuka pada bidang kompleks,o004.petrunin.ch18.s10,o004.concept.complex-plane-coordinate; o004.concept.circle-interior,mapped-admitted
o004.concept.holomorphic-function,holomorphic function,fungsi holomorfik,o004.petrunin.ch18.s10,o004.concept.complex-arithmetic,mapped-admitted
o004.concept.schwarz-pick-contraction,Schwarz–Pick contraction theorem,teorema kontraksi Schwarz–Pick,o004.petrunin.ch18.s10,o004.concept.holomorphic-function; o004.concept.hyperbolic-distance; o004.concept.conformal-disc-model,mapped-admitted
o004.concept.schwarz-lemma,Schwarz lemma,Lema Schwarz,o004.petrunin.ch18.s10,o004.concept.schwarz-pick-contraction; o004.concept.complex-modulus,mapped-admitted
