concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.conformal-projective-bijection,conformal-to-projective h-plane bijection,bijeksi bidang-h konformal-ke-proyektif,o004.petrunin.ch17.s01,o004.concept.stereographic-projection; o004.concept.absolute-circle,mapped-admitted
o004.concept.northern-hemisphere-realization,northern-hemisphere realization of the h-plane,realisasi bidang-h pada belahan bola utara,o004.petrunin.ch17.s01,o004.concept.unit-sphere; o004.concept.conformal-projective-bijection,mapped-admitted
o004.concept.foot-projection-plane,orthogonal foot projection to a plane,proyeksi titik kaki tegak lurus ke bidang,o004.petrunin.ch17.s01,o004.concept.euclidean-three-space; o004.concept.northern-hemisphere-realization,mapped-admitted
o004.concept.projective-model,projective model of the hyperbolic plane,model proyektif bidang hiperbolik,o004.petrunin.ch17.s02,o004.concept.conformal-projective-bijection; o004.concept.absolute-circle,mapped-admitted
o004.concept.projective-h-line-chord,h-line as an open chord in the projective model,garis-h sebagai tali busur terbuka dalam model proyektif,o004.petrunin.ch17.s02,o004.concept.projective-model; o004.concept.ideal-point,mapped-admitted
o004.concept.projective-h-distance,projective-model h-distance from cross-ratio,jarak-h model proyektif dari rasio silang,o004.petrunin.ch17.s01,o004.concept.projective-model; o004.concept.cross-ratio; o004.concept.hyperbolic-line-distance-additivity,mapped-admitted
o004.concept.hyperbolic-pappus-theorem,hyperbolic Pappus theorem,teorema Pappus hiperbolik,o004.petrunin.ch17.s02,o004.concept.projective-h-line-chord; o004.concept.pappus-theorem,mapped-admitted
o004.concept.projective-h-circle-ellipse,h-circle and equidistant as ellipse and open arc,lingkaran-h dan ekuidistan sebagai elips dan busur terbuka,o004.petrunin.ch17.s02,o004.concept.projective-model; o004.concept.hypercycle,mapped-admitted
o004.concept.projective-angle-measure,hyperbolic angle measurement in the projective model,pengukuran sudut hiperbolik dalam model proyektif,o004.petrunin.ch17.s02,o004.concept.projective-model; o004.concept.isometry,mapped-admitted
o004.concept.center-perpendicularity-transfer,perpendicularity transfer at the center of the absolute,transfer ketegaklurusan di pusat lingkaran absolut,o004.petrunin.ch17.s02,o004.concept.projective-angle-measure; o004.concept.line-reflection,mapped-admitted
o004.concept.projective-isometry-group,projective transformations preserving the h-plane as isometries,transformasi proyektif yang mempertahankan bidang-h sebagai isometri,o004.petrunin.ch17.s02,o004.concept.projective-transformation; o004.concept.projective-model,mapped-admitted
o004.concept.hyperbolic-median-concurrency,concurrency of medians in a cyclic hyperbolic triangle,konkurensi garis berat pada segitiga hiperbolik siklik,o004.petrunin.ch17.s02,o004.concept.projective-model; o004.concept.circumcircle; o004.concept.centroid,mapped-admitted
o004.concept.hyperbolic-altitude-alternative,concurrent or pairwise-disjoint hyperbolic altitudes,garis tinggi hiperbolik berpotongan atau saling lepas berpasangan,o004.petrunin.ch17.s02,o004.concept.center-perpendicularity-transfer; o004.concept.orthocenter,mapped-admitted
o004.concept.projective-perpendicularity-tangent-criterion,tangent criterion for perpendicular h-lines,kriteria garis singgung bagi garis-h tegak lurus,o004.petrunin.ch17.s02,o004.concept.projective-h-line-chord; o004.concept.inversion,mapped-admitted
o004.concept.projective-parallelism-angle,projective derivation of the angle of parallelism,penurunan sudut paralelisme dengan model proyektif,o004.petrunin.ch17.s02,o004.concept.projective-h-distance; o004.concept.angle-of-parallelism,mapped-admitted
o004.concept.projective-ideal-inradius,ideal-triangle inradius from the projective model,jari-jari dalam segitiga ideal dari model proyektif,o004.petrunin.ch17.s02,o004.concept.projective-parallelism-angle; o004.concept.universal-hyperbolic-inradius-bound,mapped-admitted
o004.concept.projective-hyperbolic-pythagorean-proof,projective-model proof of the hyperbolic Pythagorean theorem,bukti model proyektif untuk teorema Pythagoras hiperbolik,o004.petrunin.ch17.s02,o004.concept.projective-h-distance; o004.concept.hyperbolic-pythagorean-theorem; o004.concept.pythagorean-theorem,mapped-admitted
o004.concept.bolyai-construction,Bolyai construction of an asymptotic parallel,konstruksi Bolyai untuk garis sejajar asimtotik,o004.petrunin.ch17.s03,o004.concept.asymptotically-parallel-h-lines; o004.concept.ruler-compass-construction,mapped-admitted
o004.concept.bolyai-length-proposition,length identity supporting Bolyai construction,identitas panjang yang mendukung konstruksi Bolyai,o004.petrunin.ch17.s03,o004.concept.bolyai-construction; o004.concept.projective-h-distance; o004.concept.similar-triangles,mapped-admitted
o004.concept.common-perpendicular-construction,construction of a common perpendicular of h-lines,konstruksi garis tegak lurus bersama bagi garis-h,o004.petrunin.ch17.s03,o004.concept.common-perpendicular-h-lines; o004.concept.projective-perpendicularity-tangent-criterion; o004.concept.orthocenter,mapped-admitted
