concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.central-angle,central angle,sudut pusat,o004.petrunin.ch09.s01,"o004.concept.circle; o004.concept.center; o004.concept.angle-measure",mapped-pending-qa
o004.concept.tangent-chord-angle,angle between a tangent line and a chord,sudut antara garis singgung dan tali busur,o004.petrunin.ch09.s01,"o004.concept.tangent-line; o004.concept.chord; o004.concept.central-angle",mapped-pending-qa
o004.concept.inscribed-angle,inscribed angle,sudut keliling,o004.petrunin.ch09.s02,"o004.concept.circle; o004.concept.chord; o004.concept.angle-measure",mapped-pending-qa
o004.concept.inscribed-angle-theorem,inscribed-angle theorem,teorema sudut keliling,o004.petrunin.ch09.s02,"o004.concept.inscribed-angle; o004.concept.central-angle; o004.concept.tangent-chord-angle",mapped-pending-qa
o004.concept.inscribed-triangle,inscribed triangle,segitiga terinskripsi,o004.petrunin.ch09.s02,"o004.concept.circle; o004.concept.segment",mapped-pending-qa
o004.concept.point-power,power of a point,kuasa titik,o004.petrunin.ch09.s02,"o004.concept.inscribed-angle-theorem; o004.concept.similar-triangles; o004.concept.secant-line",mapped-pending-qa
o004.concept.right-angle-diameter,right-angle diameter criterion,kriteria sudut siku-siku pada diameter,o004.petrunin.ch09.s03,"o004.concept.inscribed-angle-theorem; o004.concept.diameter; o004.concept.right-angle",mapped-pending-qa
o004.concept.ruler-only-construction,ruler-only construction,konstruksi hanya dengan penggaris,o004.petrunin.ch09.s03,"o004.concept.right-angle-diameter; o004.concept.construction-analysis; o004.concept.perpendicular-lines",mapped-pending-qa
o004.concept.inscribed-quadrangle,inscribed quadrangle,segiempat terinskripsi,o004.petrunin.ch09.s03,"o004.concept.quadrangle; o004.concept.inscribed-angle-theorem",mapped-pending-qa
o004.concept.concyclic-points,concyclic points,titik-titik pada satu lingkaran,o004.petrunin.ch09.s03,"o004.concept.circle; o004.concept.inscribed-quadrangle",mapped-pending-qa
o004.concept.additional-circle-method,method of an additional circle,metode lingkaran bantu,o004.petrunin.ch09.s04,"o004.concept.inscribed-quadrangle; o004.concept.ruler-compass-construction",mapped-pending-qa
o004.concept.simson-line,Simson line,garis Simson,o004.petrunin.ch09.s04,"o004.concept.circumcircle; o004.concept.footpoint; o004.concept.inscribed-quadrangle",mapped-pending-qa
o004.concept.circular-arc,circular arc,busur lingkaran,o004.petrunin.ch09.s05,"o004.concept.circle; o004.concept.same-side; o004.concept.chord",mapped-pending-qa
o004.concept.arc-endpoint,endpoint of an arc,ujung busur,o004.petrunin.ch09.s05,o004.concept.circular-arc,mapped-pending-qa
o004.concept.opposite-arc,opposite arc,busur lawan,o004.petrunin.ch09.s05,"o004.concept.circular-arc; o004.concept.same-side",mapped-pending-qa
o004.concept.degenerate-arc,degenerate arc,busur degenerat,o004.petrunin.ch09.s05,"o004.concept.betweenness; o004.concept.ray; o004.concept.segment",mapped-pending-qa
o004.concept.circline,circline,lingkaran umum,o004.petrunin.ch09.s05,"o004.concept.circle; o004.concept.line",mapped-pending-qa
o004.concept.circline-arc,circline arc,busur lingkaran umum,o004.petrunin.ch09.s05,"o004.concept.circline; o004.concept.circular-arc; o004.concept.degenerate-arc",mapped-pending-qa
o004.concept.cyclic-order,cyclic order,urutan siklik,o004.petrunin.ch09.s05,"o004.concept.circline-arc; o004.concept.opposite-arc",mapped-pending-qa
o004.concept.tangent-ray,tangent half-line,sinar singgung,o004.petrunin.ch09.s06,"o004.concept.tangent-line; o004.concept.ray; o004.concept.circline-arc; o004.concept.same-side",mapped-pending-qa
o004.concept.tangent-ray-arc-criterion,tangent-ray criterion for an arc,kriteria sinar singgung pada busur,o004.petrunin.ch09.s06,"o004.concept.tangent-ray; o004.concept.inscribed-angle-theorem; o004.concept.oriented-angle-sign",mapped-pending-qa
