concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.geometric-construction,geometric construction,konstruksi geometri,o004.petrunin.ch19.s01,,mapped-admitted
o004.concept.straightedge-compass-construction,straightedge-and-compass construction,konstruksi dengan penggaris dan jangka,o004.petrunin.ch19.s01,o004.concept.geometric-construction,mapped-admitted
o004.concept.classical-construction-problem,classical construction problem,soal konstruksi klasik,o004.petrunin.ch19.s01,o004.concept.straightedge-compass-construction,mapped-admitted
o004.concept.impossible-construction,impossible construction,konstruksi yang mustahil,o004.petrunin.ch19.s02,o004.concept.straightedge-compass-construction,mapped-admitted
o004.concept.regular-polygon-constructibility,constructibility of a regular polygon,keterkonstruksian segi-n beraturan,o004.petrunin.ch19.s02,o004.concept.straightedge-compass-construction,mapped-admitted
o004.concept.fermat-prime,Fermat prime,bilangan prima Fermat,o004.petrunin.ch19.s02,,mapped-admitted
o004.concept.gauss-wantzel-theorem,Gauss--Wantzel theorem,Teorema Gauss--Wantzel,o004.petrunin.ch19.s02,o004.concept.regular-polygon-constructibility; o004.concept.fermat-prime,mapped-admitted
o004.concept.constructible-number,constructible number,bilangan yang dapat dikonstruksi,o004.petrunin.ch19.s03,o004.concept.straightedge-compass-construction; o004.concept.euclidean-coordinate-model,mapped-admitted
o004.concept.constructible-coordinate-field,coordinate characterization of constructible points,karakterisasi koordinat titik yang dapat dikonstruksi,o004.petrunin.ch19.s03,o004.concept.constructible-number; o004.concept.coordinate-method,mapped-admitted
o004.concept.geometric-mean-construction,geometric-mean construction,konstruksi rerata geometri,o004.petrunin.ch19.s03,o004.concept.straightedge-compass-construction; o004.concept.circle,mapped-admitted
o004.concept.set-square-construction,set-square construction,konstruksi dengan penggaris segitiga,o004.petrunin.ch19.s04,o004.concept.geometric-construction,mapped-admitted
o004.concept.set-square-45,45-degree set square,penggaris segitiga 45 derajat,o004.petrunin.ch19.s04,o004.concept.set-square-construction,mapped-admitted
o004.concept.set-square-30,30-degree set square,penggaris segitiga 30 derajat,o004.petrunin.ch19.s04,o004.concept.set-square-construction,mapped-admitted
o004.concept.rational-point,rational point,titik rasional,o004.petrunin.ch19.s04,o004.concept.euclidean-coordinate-model,mapped-admitted
o004.concept.irrational-point,irrational point,titik irasional,o004.petrunin.ch19.s04,o004.concept.rational-point,mapped-admitted
o004.concept.construction-verification,verification of a construction,verifikasi konstruksi,o004.petrunin.ch19.s05,o004.concept.geometric-construction,mapped-admitted
o004.concept.verifiable-configuration,verifiable configuration,konfigurasi yang dapat diverifikasi,o004.petrunin.ch19.s05,o004.concept.construction-verification,mapped-admitted
o004.concept.decidable-construction-property,decidable construction property,sifat konstruksi yang dapat diputuskan,o004.petrunin.ch19.s05,o004.concept.construction-verification,mapped-admitted
o004.concept.general-circle-tool,general-circle tool,alat lingkaran umum,o004.petrunin.ch19.s05,o004.concept.circle,mapped-admitted
o004.concept.geometric-inversor,geometric inversor,inversor geometri,o004.petrunin.ch19.s05,o004.concept.inversion,mapped-admitted
o004.concept.free-point-choice,free-point choice,pemilihan titik bebas,o004.petrunin.ch19.s05,o004.concept.geometric-construction,mapped-admitted
o004.concept.projective-construction-obstruction,projective obstruction to construction,obstruksi proyektif terhadap konstruksi,o004.petrunin.ch19.s05,o004.concept.projective-transformation; o004.concept.free-point-choice,mapped-admitted
o004.concept.construction-tool-strength,strength of a construction-tool set,kekuatan himpunan alat konstruksi,o004.petrunin.ch19.s06,o004.concept.geometric-construction,mapped-admitted
o004.concept.strictly-stronger-tool-set,strictly stronger tool set,himpunan alat yang lebih kuat secara ketat,o004.petrunin.ch19.s06,o004.concept.construction-tool-strength,mapped-admitted
o004.concept.equivalent-tool-sets,equivalent tool sets,himpunan alat yang ekuivalen,o004.petrunin.ch19.s06,o004.concept.construction-tool-strength,mapped-admitted
o004.concept.incomparable-tool-sets,incomparable tool sets,himpunan alat yang tidak terbandingkan,o004.petrunin.ch19.s06,o004.concept.construction-tool-strength,mapped-admitted
o004.concept.mohr-mascheroni-theorem,Mohr--Mascheroni theorem,Teorema Mohr--Mascheroni,o004.petrunin.ch19.s06,o004.concept.straightedge-compass-construction; o004.concept.equivalent-tool-sets,mapped-admitted
o004.concept.poncelet-steiner-theorem,Poncelet--Steiner theorem,Teorema Poncelet--Steiner,o004.petrunin.ch19.s06,o004.concept.straightedge-compass-construction; o004.concept.equivalent-tool-sets,mapped-admitted
