concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.triangle-geometry,triangle geometry,geometri segitiga,o004.petrunin.ch08,o004.concept.triangle-side-existence,mapped-pending-qa
o004.concept.circumcenter,circumcenter,pusat lingkaran luar,o004.petrunin.ch08.s01,"o004.concept.perpendicular-bisector; o004.concept.center",mapped-pending-qa
o004.concept.circumcircle,circumcircle,lingkaran luar,o004.petrunin.ch08.s01,"o004.concept.circle; o004.concept.circumcenter",mapped-pending-qa
o004.concept.triangle-altitude,altitude as a line,garis tinggi,o004.petrunin.ch08.s02,"o004.concept.perpendicular-lines; o004.concept.footpoint",mapped-pending-qa
o004.concept.triangle-height,altitude as a distance,tinggi,o004.petrunin.ch08.s02,"o004.concept.triangle-altitude; o004.concept.point-line-distance",mapped-pending-qa
o004.concept.orthocenter,orthocenter,ortosenter,o004.petrunin.ch08.s02,o004.concept.triangle-altitude,mapped-pending-qa
o004.concept.orthocentric-system,orthocentric system,sistem ortosentrik,o004.petrunin.seg.hints-ch08,o004.concept.orthocenter,mapped-pending-qa
o004.concept.medial-triangle,medial triangle,segitiga medial,o004.petrunin.ch08.s02,o004.concept.midpoint,mapped-pending-qa
o004.concept.triangle-median,median of a triangle,garis berat segitiga,o004.petrunin.ch08.s03,o004.concept.midpoint,mapped-pending-qa
o004.concept.centroid,centroid,titik berat,o004.petrunin.ch08.s03,o004.concept.triangle-median,mapped-pending-qa
o004.concept.euler-line,Euler's line,garis Euler,o004.petrunin.ch08.s03,"o004.concept.orthocenter; o004.concept.centroid; o004.concept.circumcenter",mapped-pending-qa
o004.concept.homothety,homothety,homoteti,o004.petrunin.seg.hints-ch08,"o004.concept.similar-triangles; o004.concept.similarity-coefficient",mapped-pending-qa
o004.concept.angle-bisector,angle bisector,garis bagi sudut,o004.petrunin.ch08.s04,o004.concept.oriented-angle-sign,mapped-pending-qa
o004.concept.external-angle-bisector,external angle bisector,garis bagi luar,o004.petrunin.ch08.s04,"o004.concept.angle-bisector; o004.concept.straight-angle",mapped-pending-qa
o004.concept.angle-bisector-ratio,angle-bisector ratio,rasio garis bagi sudut,o004.petrunin.ch08.s04,"o004.concept.angle-bisector; o004.concept.aa-similarity-condition",mapped-pending-qa
o004.concept.equidistant-from-two-lines,equidistant from two lines,berjarak sama dari dua garis,o004.petrunin.ch08.s05,o004.concept.point-line-distance,mapped-pending-qa
o004.concept.incenter,incenter,pusat lingkaran dalam,o004.petrunin.ch08.s06,"o004.concept.angle-bisector; o004.concept.equidistant-from-two-lines",mapped-pending-qa
o004.concept.incircle,incircle,lingkaran dalam,o004.petrunin.ch08.s06,"o004.concept.incenter; o004.concept.circle; o004.concept.tangent-line",mapped-pending-qa
o004.concept.inradius,inradius,jari-jari lingkaran dalam,o004.petrunin.ch08.s06,"o004.concept.incircle; o004.concept.radius",mapped-pending-qa
o004.concept.orthic-triangle,orthic triangle,segitiga ortik,o004.petrunin.ch08.s06,"o004.concept.triangle-altitude; o004.concept.footpoint",mapped-pending-qa
o004.concept.excenter,excenter,"eksenter (pusat lingkaran singgung luar)",o004.petrunin.seg.hints-ch08,"o004.concept.external-angle-bisector; o004.concept.angle-bisector",mapped-pending-qa
