concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.inversion,inversion,inversi,o004.petrunin.ch10.s01,"o004.concept.circle; o004.concept.center; o004.concept.radius; o004.concept.ray; o004.concept.distance",mapped-pending-qa
o004.concept.inverse-points,inverse points,titik-titik invers,o004.petrunin.ch10.s01,"o004.concept.inversion; o004.concept.circle-interior; o004.concept.circle-exterior",mapped-pending-qa
o004.concept.circle-of-inversion,circle of inversion,lingkaran inversi,o004.petrunin.ch10.s01,"o004.concept.inversion; o004.concept.circle; o004.concept.radius",mapped-pending-qa
o004.concept.center-of-inversion,center of inversion,pusat inversi,o004.petrunin.ch10.s01,"o004.concept.circle-of-inversion; o004.concept.center",mapped-pending-qa
o004.concept.inversion-involution,involutive property of inversion,sifat involutif inversi,o004.petrunin.ch10.s01,"o004.concept.inversion; o004.concept.inverse-points; o004.concept.identity-map",mapped-pending-qa
o004.concept.inversion-similarity,inversion similarity lemma,lema kesebangunan inversi,o004.petrunin.ch10.s01,"o004.concept.inverse-points; o004.concept.similar-triangles; o004.concept.sas-similarity-condition; o004.concept.oriented-angle-sign",mapped-pending-qa
o004.concept.cross-ratio,cross-ratio,rasio silang,o004.petrunin.ch10.s02,"o004.concept.quadrangle; o004.concept.distance",mapped-pending-qa
o004.concept.cross-ratio-invariance,invariance of the cross-ratio under inversion,invariansi rasio silang terhadap inversi,o004.petrunin.ch10.s02,"o004.concept.cross-ratio; o004.concept.inversion-similarity; o004.concept.inversion",mapped-pending-qa
o004.concept.point-at-infinity,point at infinity,titik di tak hingga,o004.petrunin.ch10.s03,"o004.concept.euclidean-plane; o004.concept.line; o004.concept.ray",mapped-pending-qa
o004.concept.inversive-plane,inversive plane,bidang inversif,o004.petrunin.ch10.s03,"o004.concept.euclidean-plane; o004.concept.point-at-infinity",mapped-pending-qa
o004.concept.inversion-of-circline,inverse of a circline,invers suatu lingkaran umum (circline),o004.petrunin.ch10.s03,"o004.concept.inversive-plane; o004.concept.inversion; o004.concept.circline; o004.concept.inscribed-quadrangle",mapped-pending-qa
o004.concept.circumtool,circumtool,alat lingkaran umum,o004.petrunin.ch10.s03,"o004.concept.circline; o004.concept.ruler-compass-construction",mapped-pending-qa
o004.concept.method-of-inversion,method of inversion,metode inversi,o004.petrunin.ch10.s04,"o004.concept.inversion; o004.concept.inversion-of-circline; o004.concept.cross-ratio-invariance",mapped-pending-qa
o004.concept.ptolemy-identity,Ptolemy's identity,identitas Ptolemy,o004.petrunin.ch10.s04,"o004.concept.inscribed-quadrangle; o004.concept.cyclic-order; o004.concept.cross-ratio; o004.concept.ptolemy-equality-case",mapped-pending-qa
o004.concept.perpendicular-circles,perpendicular circles,lingkaran-lingkaran yang saling tegak lurus,o004.petrunin.ch10.s05,"o004.concept.circle; o004.concept.tangent-line; o004.concept.perpendicular-lines",mapped-pending-qa
o004.concept.perpendicular-circlines,perpendicular circlines,lingkaran umum yang saling tegak lurus,o004.petrunin.ch10.s05,"o004.concept.circline; o004.concept.perpendicular-circles; o004.concept.perpendicular-lines",mapped-pending-qa
o004.concept.inversion-across-line,inversion across a line,inversi terhadap garis,o004.petrunin.ch10.s05,"o004.concept.line-reflection; o004.concept.inversive-plane",mapped-pending-qa
o004.concept.inversion-across-circline,inversion across a circline,inversi terhadap lingkaran umum,o004.petrunin.ch10.s05,"o004.concept.inversion; o004.concept.inversion-across-line; o004.concept.circline",mapped-pending-qa
o004.concept.fixed-circline-under-inversion,fixed-circline criterion under inversion,kriteria lingkaran umum tetap pada inversi,o004.petrunin.ch10.s05,"o004.concept.inversion-across-circline; o004.concept.perpendicular-circlines",mapped-pending-qa
o004.concept.inversor,inversor,inversor,o004.petrunin.ch10.s05,"o004.concept.inversion-across-circline; o004.concept.ruler-compass-construction",mapped-pending-qa
o004.concept.inverse-arc,inverse of an arc,citra invers busur,o004.petrunin.ch10.s06,"o004.concept.inversion-of-circline; o004.concept.circline-arc",mapped-pending-qa
o004.concept.angle-between-arcs,angle between arcs,sudut antara busur,o004.petrunin.ch10.s06,"o004.concept.circline-arc; o004.concept.tangent-ray; o004.concept.angle-measure",mapped-pending-qa
o004.concept.angle-sign-under-inversion,angle behavior under inversion,perubahan tanda sudut pada inversi,o004.petrunin.ch10.s06,"o004.concept.inversion; o004.concept.inverse-arc; o004.concept.angle-between-arcs; o004.concept.oriented-angle-sign",mapped-pending-qa
o004.concept.inversion-conjugacy,invariance of inversion under conjugation,invariansi inversi melalui konjugasi,o004.petrunin.ch10.s06,"o004.concept.angle-sign-under-inversion; o004.concept.inversion-across-circline; o004.concept.perpendicular-circlines",mapped-pending-qa
