concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.projective-geometry,projective geometry,geometri proyektif,o004.petrunin.ch15.s01,"o004.concept.incidence-structure; o004.concept.affine-geometry",mapped-pending-qa
o004.concept.projective-extension,projective extension,perluasan proyektif,o004.petrunin.ch15.s01,"o004.concept.projective-geometry; o004.concept.euclidean-plane; o004.concept.parallel-lines",mapped-pending-qa
o004.concept.concurrent-lines,concurrent lines,garis-garis konkuren,o004.petrunin.ch15.s01,"o004.concept.line; o004.concept.collinearity",mapped-pending-qa
o004.concept.pencil-of-lines,pencil of lines,berkas garis,o004.petrunin.ch15.s01,o004.concept.concurrent-lines,mapped-pending-qa
o004.concept.centered-pencil,centered pencil of lines,berkas garis berpusat,o004.petrunin.ch15.s01,o004.concept.pencil-of-lines,mapped-pending-qa
o004.concept.parallel-pencil,parallel pencil of lines,berkas garis sejajar,o004.petrunin.ch15.s01,"o004.concept.pencil-of-lines; o004.concept.parallel-lines",mapped-pending-qa
o004.concept.projective-ideal-point,ideal point in a projective extension,titik ideal pada perluasan proyektif,o004.petrunin.ch15.s01,"o004.concept.parallel-pencil; o004.concept.projective-extension",mapped-pending-qa
o004.concept.ideal-line,ideal line,garis ideal,o004.petrunin.ch15.s01,"o004.concept.parallel-pencil; o004.concept.projective-ideal-point",mapped-pending-qa
o004.concept.projective-plane,projective plane,bidang proyektif,o004.petrunin.ch15.s01,"o004.concept.projective-extension; o004.concept.ideal-line; o004.concept.incidence-structure",mapped-pending-qa
o004.concept.euclidean-three-space,three-dimensional Euclidean space,ruang Euklides berdimensi tiga,o004.petrunin.ch15.s02,"o004.concept.metric-space; o004.concept.euclidean-plane",mapped-pending-qa
o004.concept.plane-in-euclidean-space,plane in Euclidean space,bidang dalam ruang Euklides,o004.petrunin.ch15.s02,"o004.concept.euclidean-three-space; o004.concept.coordinate-method",mapped-pending-qa
o004.concept.spatial-projective-model,spatial model of the projective plane,model ruang bidang proyektif,o004.petrunin.ch15.s03,"o004.concept.projective-plane; o004.concept.euclidean-three-space; o004.concept.plane-in-euclidean-space",mapped-pending-qa
o004.concept.projective-incidence-correspondence,point-line incidence correspondence in the spatial model,korespondensi insidensi titik-garis dalam model ruang,o004.petrunin.ch15.s03,"o004.concept.spatial-projective-model; o004.concept.incidence-structure",mapped-pending-qa
o004.concept.perspective-projection,perspective projection,proyeksi perspektif,o004.petrunin.ch15.s04,"o004.concept.plane-in-euclidean-space; o004.concept.spatial-projective-model",mapped-pending-qa
o004.concept.perspective-projection-center,center of a perspective projection,pusat proyeksi perspektif,o004.petrunin.ch15.s04,o004.concept.perspective-projection,mapped-pending-qa
o004.concept.perspective-transformation,perspective transformation,transformasi perspektif,o004.petrunin.ch15.s04,"o004.concept.perspective-projection; o004.concept.coordinate-method",mapped-pending-qa
o004.concept.projective-transformation,projective transformation,transformasi proyektif,o004.petrunin.ch15.s05,"o004.concept.projective-plane; o004.concept.incidence-structure",mapped-pending-qa
o004.concept.affine-projective-subgroup,affine transformations as projective transformations,transformasi afin sebagai transformasi proyektif,o004.petrunin.ch15.s05,"o004.concept.affine-transformation; o004.concept.projective-transformation; o004.concept.ideal-line",mapped-pending-qa
o004.concept.projective-normal-form,affine-perspective normal form of a projective transformation,bentuk normal afin-perspektif transformasi proyektif,o004.petrunin.ch15.s05,"o004.concept.projective-transformation; o004.concept.perspective-transformation; o004.concept.affine-projective-subgroup",mapped-pending-qa
o004.concept.projective-cross-ratio-invariance,projective invariance of cross-ratio,invariansi proyektif rasio silang,o004.petrunin.ch15.s05,"o004.concept.projective-normal-form; o004.concept.cross-ratio; o004.concept.affine-collinear-ratio-invariance",mapped-pending-qa
o004.concept.move-line-to-infinity,moving a line to infinity,memindahkan garis ke tak hingga,o004.petrunin.ch15.s06,"o004.concept.projective-normal-form; o004.concept.ideal-line",mapped-pending-qa
o004.concept.preferred-affine-plane,preferred affine plane,bidang afin yang diutamakan,o004.petrunin.ch15.s06,"o004.concept.projective-plane; o004.concept.move-line-to-infinity",mapped-pending-qa
o004.concept.desargues-theorem,Desargues' theorem,teorema Desargues,o004.petrunin.ch15.s06,"o004.concept.projective-transformation; o004.concept.concurrent-lines; o004.concept.collinearity",mapped-pending-qa
o004.concept.pappus-theorem,Pappus' theorem,teorema Pappus,o004.petrunin.ch15.s06,"o004.concept.projective-transformation; o004.concept.collinearity",mapped-pending-qa
o004.concept.pappus-partial-converse,partial converse of Pappus' theorem,kebalikan parsial teorema Pappus,o004.petrunin.ch15.s06,o004.concept.pappus-theorem,mapped-pending-qa
o004.concept.projective-ruler-parallel-construction,ruler-only parallel construction via projective theorems,konstruksi garis sejajar hanya dengan penggaris melalui teorema proyektif,o004.petrunin.ch15.s06,"o004.concept.desargues-theorem; o004.concept.pappus-theorem; o004.concept.ruler-only-construction",mapped-pending-qa
o004.concept.projective-duality,projective duality,dualitas proyektif,o004.petrunin.ch15.s07,"o004.concept.projective-plane; o004.concept.projective-incidence-correspondence",mapped-pending-qa
o004.concept.polarity,polarity,polaritas,o004.petrunin.ch15.s07,o004.concept.projective-duality,mapped-pending-qa
o004.concept.dual-configuration,dual point-line configuration,konfigurasi dual titik-garis,o004.petrunin.ch15.s07,"o004.concept.projective-duality; o004.concept.incidence-structure",mapped-pending-qa
o004.concept.dual-desargues-theorem,dual Desargues' theorem,teorema dual Desargues,o004.petrunin.ch15.s07,"o004.concept.projective-duality; o004.concept.desargues-theorem",mapped-pending-qa
o004.concept.dual-pappus-theorem,dual Pappus theorem,teorema dual Pappus,o004.petrunin.ch15.s07,"o004.concept.projective-duality; o004.concept.pappus-theorem",mapped-pending-qa
o004.concept.circle-polarity,polarity with respect to a circle,polaritas terhadap lingkaran,o004.petrunin.ch15.s08,"o004.concept.polarity; o004.concept.circle; o004.concept.projective-duality",mapped-pending-qa
o004.concept.polar-of-point,polar of a point,polar suatu titik,o004.petrunin.ch15.s08,o004.concept.circle-polarity,mapped-pending-qa
o004.concept.pole-of-line,pole of a line,kutub suatu garis,o004.petrunin.ch15.s08,o004.concept.circle-polarity,mapped-pending-qa
o004.concept.polar-inverse-foot,inverse point as the perpendicular foot on the polar,titik invers sebagai kaki tegak lurus pada polar,o004.petrunin.ch15.s08,"o004.concept.polar-of-point; o004.concept.inversion; o004.concept.perpendicular-lines",mapped-pending-qa
o004.concept.polar-ruler-constructions,ruler-only constructions using pole-polar duality,konstruksi hanya dengan penggaris menggunakan dualitas kutub-polar,o004.petrunin.ch15.s08,"o004.concept.polar-of-point; o004.concept.pole-of-line; o004.concept.ruler-only-construction",mapped-pending-qa
