concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.right-angle,right angle,sudut siku-siku,o004.petrunin.ch05.s01,o004.concept.angle-measure,mapped-pending-qa
o004.concept.acute-angle,acute angle,sudut lancip,o004.petrunin.ch05.s01,o004.concept.angle-measure,mapped-pending-qa
o004.concept.obtuse-angle,obtuse angle,sudut tumpul,o004.petrunin.ch05.s01,o004.concept.angle-measure,mapped-pending-qa
o004.concept.perpendicular-lines,perpendicular lines,garis tegak lurus,o004.petrunin.ch05.s01,o004.concept.right-angle; o004.concept.line,mapped-pending-qa
o004.concept.perpendicular-bisector,perpendicular bisector,garis sumbu,o004.petrunin.ch05.s02,o004.concept.perpendicular-lines; o004.concept.midpoint; o004.concept.segment,mapped-pending-qa
o004.concept.perpendicular-bisector-locus,equidistance locus of a segment,lokus titik yang berjarak sama dari kedua ujung ruas,o004.petrunin.ch05.s02,o004.concept.perpendicular-bisector; o004.concept.sss-congruence-condition,mapped-pending-qa
o004.concept.footpoint,footpoint,titik kaki tegak lurus,o004.petrunin.ch05.s03,o004.concept.perpendicular-lines,mapped-pending-qa
o004.concept.unique-perpendicular,existence and uniqueness of a perpendicular,keberadaan dan ketunggalan garis tegak lurus,o004.petrunin.ch05.s03,o004.concept.perpendicular-bisector-locus; o004.petrunin.ax.ch02.iii.a,mapped-pending-qa
o004.concept.line-reflection,reflection across a line,pencerminan terhadap garis,o004.petrunin.ch05.s04,o004.concept.unique-perpendicular; o004.concept.perpendicular-bisector,mapped-pending-qa
o004.concept.direct-motion,direct motion,transformasi isometrik langsung,o004.petrunin.ch05.s05,o004.concept.motion; o004.concept.angle-measure,mapped-pending-qa
o004.concept.indirect-motion,indirect motion,transformasi isometrik tak langsung,o004.petrunin.ch05.s05,o004.concept.motion; o004.concept.line-reflection,mapped-pending-qa
o004.concept.motion-orientation-classification,orientation classification of motions,klasifikasi orientasi transformasi isometrik,o004.petrunin.ch05.s05,o004.concept.direct-motion; o004.concept.indirect-motion; o004.concept.three-nail-lemma,mapped-pending-qa
o004.concept.point-line-distance,distance from a point to a line,jarak titik ke garis,o004.petrunin.ch05.s06,o004.concept.footpoint; o004.concept.distance,mapped-pending-qa
o004.concept.perpendicular-minimizes-distance,perpendicular is shortest,ruas tegak lurus meminimumkan jarak,o004.petrunin.ch05.s06,o004.concept.point-line-distance; o004.concept.triangle-inequality; o004.concept.line-reflection,mapped-pending-qa
o004.concept.right-triangle,right triangle,segitiga siku-siku,o004.petrunin.ch05.s06,o004.concept.right-angle,mapped-pending-qa
o004.concept.obtuse-triangle,obtuse triangle,segitiga tumpul,o004.petrunin.ch05.s06,o004.concept.obtuse-angle,mapped-pending-qa
o004.concept.acute-triangle,acute triangle,segitiga lancip,o004.petrunin.ch05.s06,o004.concept.acute-angle,mapped-pending-qa
o004.concept.circle-interior,inside a circle,titik di dalam lingkaran,o004.petrunin.ch05.s07,o004.concept.circle; o004.concept.center; o004.concept.radius; o004.concept.distance,mapped-pending-qa
o004.concept.circle-exterior,outside a circle,titik di luar lingkaran,o004.petrunin.ch05.s07,o004.concept.circle; o004.concept.center; o004.concept.radius; o004.concept.distance,mapped-pending-qa
o004.concept.chord,chord,tali busur,o004.petrunin.ch05.s07,o004.concept.circle; o004.concept.segment,mapped-pending-qa
o004.concept.diameter,diameter,diameter,o004.petrunin.ch05.s07,o004.concept.chord; o004.concept.center,mapped-pending-qa
o004.concept.line-circle-intersection-count,line-circle intersection count,banyaknya titik potong garis dan lingkaran,o004.petrunin.ch05.s07,o004.concept.circle; o004.concept.perpendicular-bisector; o004.concept.unique-perpendicular,mapped-pending-qa
o004.concept.secant-line,secant line,garis sekan,o004.petrunin.ch05.s07,o004.concept.line-circle-intersection-count,mapped-pending-qa
o004.concept.tangent-line,tangent line,garis singgung,o004.petrunin.ch05.s07,o004.concept.line-circle-intersection-count; o004.concept.point-line-distance,mapped-pending-qa
o004.concept.tangent-circles,tangent circles,lingkaran bersinggungan,o004.petrunin.ch05.s07,o004.concept.circle-intersection-criterion; o004.concept.tangent-line,mapped-pending-qa
o004.concept.circle-tangency-distance-criterion,center-distance criterion for tangent circles,kriteria jarak pusat untuk dua lingkaran bersinggungan,o004.petrunin.ch05.s07,o004.concept.tangent-circles; o004.concept.radius; o004.concept.triangle-inequality-equality-case,mapped-pending-qa
